X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,263,,10101
-8798216.99543568,4291340.47123719,2019/07/23 17:28:32+00,1.17,6.59,6.69,7.05,10.18,13.35,14.6,79,61,998.18,Chapel Hill Public Library,outside,35.932522,-79.035728,488,-82,36,,10102
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,323,,10103
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,383,,10104
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,443,,10105
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,503,,10106
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,563,,10107
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,623,,10108
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,683,,10109
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,743,,10110
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,803,,10111
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,863,,10112
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,923,,10113
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,983,,10114
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,1043,,10115
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,1103,,10116
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,1163,,10117
-8798216.99543568,4291340.47123719,2019/08/12 19:41:53+00,15.81,18.1,19.04,18.69,18.79,17.72,15.4,101,29,999.27,Chapel Hill Public Library,outside,35.932522,-79.035728,1220,-81,1223,,10118
